AÑO,MES,implementado,consulta externa,cred,discapacidad,inmunizacion,programacion,refcon,ventanilla unica,wawared,DIRESA
2021,4,7,8,13,19,13,40,7,10,8,TUMBES
2021,5,5,5,5,13,12,6,70,5,5,MADRE DE DIOS
2020,11,53,54,138,196,425,65,80,60,67,PIURA
2021,8,10,3,10,14,17,10,46,10,44,CALLAO
2019,10,37,7,38,47,53,37,213,37,45,LA LIBERTAD
2021,8,53,43,73,101,78,53,277,53,55,LA LIBERTAD
2020,6,47,52,48,31,60,57,157,56,289,JUNIN
2019,7,3,1,3,4,6,3,69,3,2,MADRE DE DIOS
2020,6,47,46,107,20,131,49,81,48,76,ICA
2020,4,37,34,79,113,292,44,401,38,116,PUNO
2021,10,12,12,28,68,31,23,177,14,21,LIMA
2019,12,51,49,105,187,425,56,76,55,58,PIURA
2019,12,27,25,70,111,285,28,389,28,99,PUNO
2018,4,0,0,0,1,45,0,72,0,71,LIMA ESTE
2021,7,39,27,38,78,52,43,156,43,27,HUANCAVELICA
2019,5,5,4,9,58,85,19,116,5,17,LAMBAYEQUE
2018,4,0,0,0,54,52,0,352,0,0,ANCASH
2020,12,72,47,46,8,73,78,78,77,72,LIMA ESTE
2021,12,37,34,66,221,124,39,396,37,42,ANCASH
2019,7,81,11,28,20,87,92,96,88,95,LIMA NORTE
2018,2,0,0,1,3,6,0,12,0,2,TACNA
2022,1,16,17,32,49,33,26,24,20,23,LORETO
2021,9,7,8,13,21,13,40,7,10,8,TUMBES
2021,2,53,43,73,95,78,53,270,53,54,LA LIBERTAD
2020,8,28,27,94,28,252,32,138,28,75,PASCO
2021,5,101,81,87,34,94,105,104,105,98,LIMA NORTE
2019,10,56,26,41,27,84,70,121,56,115,LIMA SUR
2021,5,10,2,10,11,16,10,46,10,44,CALLAO
2020,6,53,53,121,191,425,61,80,59,64,PIURA
2021,6,22,24,29,173,52,23,234,25,31,CAJAMARCA
2019,8,27,11,27,163,93,28,386,27,29,ANCASH
2018,9,0,0,0,80,20,0,0,0,8,CUSCO
2020,8,14,17,28,35,29,26,15,20,20,LORETO
2018,7,0,0,0,4,4,0,67,0,0,MADRE DE DIOS
2018,6,0,0,0,29,11,0,0,0,11,AMAZONAS
2020,8,53,43,73,72,77,53,257,53,54,LA LIBERTAD
2019,4,0,0,3,78,207,0,284,0,50,PUNO
2019,7,20,15,20,60,87,20,121,20,21,LAMBAYEQUE
2021,5,38,27,38,76,52,43,145,43,27,HUANCAVELICA
2018,11,0,0,0,21,17,0,115,0,11,LIMA
2021,10,57,55,164,213,425,68,99,64,72,PIURA
2019,12,7,7,25,40,27,7,144,7,18,LIMA
2020,9,10,2,10,9,16,10,46,10,44,CALLAO
2020,4,76,61,75,31,95,90,126,77,116,LIMA SUR
2019,6,18,18,17,25,252,18,117,18,45,PASCO
2018,7,0,0,0,8,5,0,0,0,0,TUMBES
2021,12,13,14,38,10,56,14,30,15,22,MOQUEGUA
2020,8,5,5,5,8,12,5,69,5,5,MADRE DE DIOS
2021,1,14,13,15,40,22,19,28,17,14,UCAYALI
2018,7,0,0,0,13,33,0,2,0,4,LA LIBERTAD
2021,10,69,63,138,39,194,80,257,72,130,AREQUIPA
2020,1,3,3,3,8,10,3,69,3,4,MADRE DE DIOS
2018,9,18,0,0,10,82,66,33,45,94,LIMA NORTE
2018,1,0,0,1,18,109,0,0,0,0,PASCO
2021,3,78,62,78,33,104,90,130,78,117,LIMA SUR
2020,3,37,34,55,186,115,38,393,37,38,ANCASH
2019,5,14,7,15,147,90,18,383,14,20,ANCASH
2018,6,0,0,0,18,37,1,0,0,0,AYACUCHO
2018,5,0,0,0,9,67,0,22,0,92,LIMA NORTE
2018,2,0,0,0,7,29,0,2,0,3,LA LIBERTAD
2019,11,5,5,7,16,11,40,5,9,8,TUMBES
2021,8,78,62,78,33,105,90,131,78,117,LIMA SUR
2018,10,0,0,1,22,128,0,0,0,18,PASCO
2021,8,47,46,128,27,138,52,94,52,82,ICA
2019,1,0,1,4,23,41,8,0,5,4,AYACUCHO
2021,8,48,52,50,39,64,59,218,56,303,JUNIN
2018,12,0,4,3,134,387,12,0,11,14,PIURA
2020,10,12,12,28,49,30,16,151,13,21,LIMA
2018,11,0,0,0,56,118,0,230,0,26,PUNO
2018,4,0,0,0,8,31,0,2,0,4,LA LIBERTAD
2018,3,0,0,0,8,63,0,0,0,91,LIMA NORTE
2022,1,16,13,21,47,23,21,64,19,16,UCAYALI
2020,11,5,5,5,8,12,6,69,5,5,MADRE DE DIOS
2020,6,48,45,54,40,74,52,71,48,50,AYACUCHO
2021,3,48,52,48,35,64,59,192,56,297,JUNIN
2021,7,49,48,50,29,54,56,65,50,64,LIMA CENTRO
2021,3,47,46,113,23,135,52,92,52,78,ICA
2019,10,23,14,37,36,60,35,37,30,32,AYACUCHO
2020,3,99,79,85,33,94,104,103,104,97,LIMA NORTE
2020,4,53,43,73,70,77,53,256,53,54,LA LIBERTAD
2020,11,37,34,59,190,123,38,394,37,39,ANCASH
2018,11,0,0,0,4,4,0,68,0,1,MADRE DE DIOS
2020,1,7,7,7,17,12,40,7,9,8,TUMBES
2018,2,5,3,1,13,52,5,106,6,107,LIMA SUR
2018,3,0,0,0,1,7,0,0,0,38,CALLAO
2021,6,12,12,28,64,31,19,157,14,21,LIMA
2020,1,25,24,31,64,105,28,160,25,30,LAMBAYEQUE
2018,3,0,0,0,50,16,0,1,0,0,HUANCAVELICA
2019,8,70,16,6,5,52,73,73,71,72,LIMA ESTE
