AÑO,MES,implementado,consulta externa,cred,discapacidad,inmunizacion,programacion,refcon,ventanilla unica,wawared,DIRESA
2018,1,0,0,0,50,16,0,1,0,0,HUANCAVELICA
2018,11,10,9,7,38,32,10,206,10,25,HUANUCO
2021,11,41,41,82,115,277,54,369,41,160,APURIMAC
2020,3,29,27,34,64,108,33,162,29,32,LAMBAYEQUE
2019,10,70,16,11,7,53,76,73,74,72,LIMA ESTE
2021,9,37,34,65,216,124,39,396,37,42,ANCASH
2021,3,14,13,16,40,22,19,28,17,16,UCAYALI
2021,8,69,63,129,37,192,80,257,72,127,AREQUIPA
2021,12,7,8,13,22,13,40,7,10,8,TUMBES
2021,12,50,48,50,32,54,58,67,51,64,LIMA CENTRO
2021,5,49,48,50,29,54,56,64,50,64,LIMA CENTRO
2019,6,21,3,5,25,173,27,247,21,85,AREQUIPA
2019,8,12,9,9,68,23,15,53,15,5,SAN MARTIN
2020,6,10,10,12,6,15,11,26,10,12,TACNA
2020,9,29,28,30,76,42,32,78,32,27,SAN MARTIN
2018,5,0,0,0,2,7,0,0,0,39,CALLAO
2019,6,29,8,45,158,417,43,32,40,31,PIURA
2018,4,3,4,3,6,26,4,3,4,62,LIMA CENTRO
2019,6,19,2,21,89,272,22,318,20,57,PUNO
2019,3,1,2,6,23,45,8,6,5,6,AYACUCHO
2021,10,48,52,50,50,65,59,231,56,306,JUNIN
2021,10,47,46,128,27,138,52,95,52,83,ICA
2021,8,39,35,82,130,295,45,425,39,122,PUNO
2020,2,22,23,24,165,29,22,51,23,26,CUSCO
2021,6,41,41,76,108,274,54,366,41,137,APURIMAC
2018,3,0,1,1,20,6,2,0,2,5,LORETO
2018,6,0,0,3,35,32,0,195,0,18,HUANUCO
2019,2,0,0,1,53,82,0,109,0,5,LAMBAYEQUE
2020,11,71,47,46,8,73,78,78,76,72,LIMA ESTE
2021,4,37,34,65,200,124,39,394,37,42,ANCASH
2019,9,0,0,1,5,8,0,4,0,43,CALLAO
2020,12,12,12,28,57,30,16,155,13,21,LIMA
2018,10,0,0,0,109,382,0,0,0,6,PIURA
2019,2,0,0,0,8,8,0,0,0,2,TUMBES
2018,3,0,0,1,18,117,0,0,0,0,PASCO
2021,1,77,62,76,32,103,90,130,78,117,LIMA SUR
2020,2,46,48,49,26,53,49,50,48,64,LIMA CENTRO
2020,12,14,13,13,40,22,19,28,16,14,UCAYALI
2020,1,12,13,24,9,33,14,24,14,22,MOQUEGUA
2020,7,67,63,111,29,189,79,255,71,111,AREQUIPA
2021,2,29,28,31,83,45,33,79,33,27,SAN MARTIN
2018,7,4,7,5,10,27,13,4,11,63,LIMA CENTRO
2020,5,7,8,9,17,13,40,7,10,8,TUMBES
2018,6,5,3,1,15,54,5,106,6,111,LIMA SUR
2021,4,29,27,102,35,252,32,171,29,103,PASCO
2021,1,22,24,28,160,50,23,171,25,31,CAJAMARCA
2020,8,37,34,57,186,122,38,394,37,38,ANCASH
2020,7,47,48,50,26,54,55,50,49,64,LIMA CENTRO
2019,3,0,0,0,37,19,0,0,0,14,AMAZONAS
2018,8,0,0,0,64,116,0,109,0,24,APURIMAC
2019,12,22,23,22,163,28,22,43,23,25,CUSCO
2021,8,41,41,50,110,48,42,271,42,103,HUANUCO
2019,6,7,2,8,26,19,7,131,7,12,LIMA
2020,3,10,2,10,8,15,10,46,10,44,CALLAO
